ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii
61,532883.78,5.685142029e6,0.0,0.0,0.0
60,532883.944,5.684942033e6,0.0,0.0,9999.0
59,532880.108,5.684742073e6,0.0,10000.0,9998.0
58,532872.273,5.684542229e6,0.0,10000.0,10002.0
57,532860.444,5.684342583e6,0.0,0.0,9998.0
56,532844.624,5.684143213e6,0.0,0.0,0.0
