x,y,z,leftCentralRightRadiiAverage,rightsideRadii,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii,centralRadiiAverageOf4Radii,centralRadiiAverageOf5Radii,centralRadiiAverageOf6Radii
609279.846,5.757240134e6,0.0,503.0,460.2611491245373,529.0,522.0,518.0,515.0,512.0,510.0
609243.971,5.757301259e6,0.0,511.0,543.1731295217548,460.0,481.0,485.0,489.0,493.0,498.0
609214.589,5.757339125e6,0.0,467.0,397.20014210926297,543.0,512.0,505.0,507.0,513.0,519.0
609166.053,5.757389343e6,0.0,514.0,601.2485787897425,397.0,432.0,459.0,483.0,502.0,522.0
609127.307,5.757418979e6,0.0,750.0,1251.9277023092845,601.0,592.0,610.0,621.0,640.0,661.0
609073.004,5.757452955e6,0.0,1500.0,2647.7777892628487,1252.0,1201.0,1118.0,1098.0,1090.0,1097.0
609025.446,5.757479664e6,0.0,2643.0,4029.4784708240923,2648.0,2593.0,2508.0,2333.0,2259.0,2178.0
608970.979,5.757508699e6,0.0,5434.0,9623.593091098253,4029.0,25237.0,19642.0,16351.0,13899.0,12648.0
608938.115,5.757526741e6,0.0,24165.0,Inf,9624.0,42202.0,Inf,Inf,Inf,Inf
608859.818,5.757569058e6,0.0,26324.0,10507.03278559185,Inf,42727.0,31075.0,24072.0,19738.0,16852.0
608776.614,5.757614195e6,0.0,23428.0,937.7595464990948,10507.0,7531.0,5662.0,4623.0,3992.0,3531.0
608638.91,5.757691052e6,0.0,3946.0,394.58284073754527,938.0,877.0,857.0,848.0,831.0,816.0
608591.638,5.757725109e6,0.0,570.0,378.86019665534917,395.0,451.0,498.0,528.0,543.0,555.0
608519.237,5.757805137e6,0.0,429.0,514.1767150084777,379.0,388.0,407.0,427.0,448.0,470.0
608484.233,5.757869963e6,0.0,415.0,352.8815664232943,514.0,459.0,440.0,441.0,459.0,483.0
608470.254,5.757904222e6,0.0,425.0,407.08794890316824,353.0,376.0,391.0,416.0,444.0,476.0
608450.77,5.758010701e6,0.0,465.0,636.0191740714198,407.0,431.0,478.0,514.0,548.0,572.0
608456.069,5.758098328e6,0.0,3389.0,9124.972298520132,636.0,706.0,767.0,811.0,823.0,834.0
608481.823,5.758212595e6,0.0,15201.0,35841.233686724765,9125.0,6027.0,4624.0,3895.0,3419.0,3059.0
608518.635,5.758365201e6,0.0,23331.0,25027.304126442268,35841.0,43324.0,31445.0,24435.0,20139.0,17226.0
608546.599,5.758483133e6,0.0,23463.0,9521.020278155365,25027.0,Inf,Inf,Inf,Inf,Inf
608578.051,5.758612832e6,0.0,14629.0,9337.97251911702,9521.0,38331.0,Inf,Inf,Inf,Inf
608593.711,5.758680553e6,0.0,11260.0,14919.516642717626,9338.0,27775.0,Inf,Inf,Inf,Inf
608616.043,5.758773383e6,0.0,13758.0,17015.605866231217,14920.0,46983.0,Inf,Inf,Inf,Inf
608630.826,5.758833439e6,0.0,Inf,Inf,17016.0,34884.0,Inf,Inf,Inf,Inf
608679.77,5.759039393e6,0.0,Inf,23822.344728915825,Inf,Inf,Inf,Inf,Inf,Inf
608712.65,5.759177762e6,0.0,Inf,31861.812095123365,23822.0,Inf,Inf,Inf,Inf,Inf
608735.822,5.759273135e6,0.0,41511.0,Inf,31862.0,Inf,Inf,Inf,Inf,Inf
