ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii
0,606981.2573699041,5.749732569917137e6,0.0,0.0,0.0,0.0,0.0
0,606960.0108869721,5.749755803912295e6,0.0,0.0,Inf,0.0,0.0
0,606942.6488802328,5.749774781698734e6,0.0,Inf,13286.0,31221.0,0.0
0,606941.0981565175,5.749776473154839e6,0.0,36340.0,Inf,Inf,Inf
0,606852.7119287981,5.74987273123486e6,0.0,31999.0,9694.0,5704.0,4230.0
0,606842.3755346074,5.749884159885926e6,0.0,3468.0,265.0,577.0,672.0
0,606828.5746391157,5.749901800963454e6,0.0,490.0,446.0,442.0,768.0
0,606811.5478123955,5.749926416158855e6,0.0,640.0,758.0,Inf,Inf
0,606799.8129505977,5.749944679917801e6,0.0,5759.0,715.0,1016.0,1550.0
0,606749.1766125448,5.750011959836285e6,0.0,5822.0,15804.0,9185.0,7367.0
0,606744.4093323249,5.750018255797926e6,0.0,8889.0,947.0,4870.0,4695.0
0,606736.9196038394,5.750027931742068e6,0.0,5518.0,9916.0,14003.0,12464.0
0,606695.1502987322,5.750082350107624e6,0.0,9878.0,5689.0,6995.0,9106.0
0,606671.011642663,5.750113189568396e6,0.0,8449.0,14028.0,17134.0,18854.0
0,606630.0823670836,5.750165078433332e6,0.0,6948.0,5628.0,4673.0,4540.0
0,606600.5483725931,5.750203313522018e6,0.0,2765.0,1186.0,1451.0,1643.0
0,606576.4945456735,5.750237014629751e6,0.0,1292.0,1481.0,1412.0,1313.0
0,606555.959288691,5.750267452842422e6,0.0,1025.0,1209.0,944.0,1008.0
0,606552.0233834857,5.750273521882279e6,0.0,1902.0,384.0,714.0,1009.0
0,606526.3119508487,5.750321106763788e6,0.0,1982.0,4114.0,4003.0,4883.0
0,606486.9898909531,5.750391121997269e6,0.0,1924.0,1448.0,2699.0,2735.0
0,606459.4735548706,5.750435264219531e6,0.0,Inf,209.0,582.0,920.0
0,606454.98329632,5.750445727500078e6,0.0,Inf,Inf,Inf,Inf
0,606417.9462765892,5.750532047080819e6,0.0,Inf,3337.0,5677.0,4502.0
0,606396.8620100252,5.750578384604969e6,0.0,1883.0,1309.0,1853.0,2104.0
0,606386.4503026752,5.750603197272783e6,0.0,2482.0,1003.0,1198.0,1573.0
0,606362.6203896982,5.750668646950522e6,0.0,2866.0,5132.0,3978.0,3408.0
0,606344.169811968,5.750721315742214e6,0.0,3643.0,2463.0,2801.0,2727.0
0,606328.192729349,5.750770320972143e6,0.0,2111.0,3333.0,2823.0,2647.0
0,606315.7954418036,5.750810234294015e6,0.0,46189.0,537.0,1074.0,1449.0
0,606313.3810582215,5.750819562380632e6,0.0,Inf,Inf,Inf,46528.0
0,606294.4883772153,5.7508924603962395e6,0.0,Inf,16058.0,12577.0,9583.0
0,606278.839590879,5.750953934006962e6,0.0,6942.0,3552.0,3411.0,3384.0
0,606268.3750864982,5.750997838225091e6,0.0,8591.0,1216.0,1613.0,1976.0
0,606260.3585126506,5.751037644350165e6,0.0,10263.0,21006.0,12055.0,8822.0
0,606254.2127603476,5.751068433499988e6,0.0,10421.0,8568.0,5519.0,4438.0
0,606251.5668159424,5.751081873371348e6,0.0,4159.0,1689.0,1820.0,1883.0
0,606230.0722965618,5.751227214330717e6,0.0,1615.0,2219.0,1866.0,1820.0
0,606229.4876778175,5.751232386711381e6,0.0,Inf,936.0,1308.0,1466.0
0,606224.1011833586,5.751313382027897e6,0.0,Inf,Inf,Inf,Inf
0,606221.9264464297,5.751346146893086e6,0.0,Inf,12962.0,30554.0,21927.0
0,606220.8181912426,5.751362378680363e6,0.0,Inf,Inf,Inf,Inf
0,606217.5249401921,5.75141056291069e6,0.0,Inf,1035.0,1204.0,1423.0
0,606216.5988578353,5.751472716163515e6,0.0,3377.0,7772.0,4888.0,4041.0
0,606216.26588211,5.751489387192433e6,0.0,4883.0,1324.0,2025.0,2171.0
0,606219.0096525965,5.75159460973235e6,0.0,3204.0,5554.0,4657.0,4212.0
0,606222.859704081,5.751683033026964e6,0.0,3443.0,2735.0,2928.0,2963.0
0,606229.2784822524,5.751768117364369e6,0.0,24780.0,2040.0,2186.0,2487.0
0,606233.5712569777,5.751808407231844e6,0.0,24920.0,Inf,36362.0,25598.0
0,606234.0817603688,5.751813213435348e6,0.0,49345.0,3156.0,4270.0,4518.0
0,606284.4282521921,5.752130275982362e6,0.0,Inf,Inf,Inf,Inf
0,606311.1815104808,5.752302409505444e6,0.0,Inf,Inf,Inf,Inf
0,606322.8721331565,5.752377592536886e6,0.0,Inf,40062.0,49284.0,Inf
0,606390.4963706217,5.752795326401795e6,0.0,Inf,Inf,Inf,Inf
0,606400.1781677468,5.752855157425769e6,0.0,Inf,16227.0,Inf,Inf
0,606406.8760106497,5.752897401299931e6,0.0,Inf,Inf,Inf,Inf
0,606468.1440476984,5.753289433909069e6,0.0,Inf,Inf,Inf,Inf
0,606506.2060371256,5.75353301756255e6,0.0,Inf,Inf,Inf,Inf
0,606545.29856954,5.753783243772189e6,0.0,Inf,Inf,Inf,Inf
0,606577.1112510501,5.753986852355015e6,0.0,Inf,Inf,Inf,Inf
0,606607.2638079636,5.754179778125341e6,0.0,Inf,Inf,Inf,Inf
0,606622.5712902149,5.754277770352655e6,0.0,Inf,Inf,Inf,Inf
0,606658.2080152336,5.754505883427073e6,0.0,Inf,Inf,Inf,Inf
0,606688.6159051897,5.754697135451676e6,0.0,Inf,Inf,Inf,Inf
0,606700.2883442829,5.754770940009985e6,0.0,Inf,Inf,Inf,Inf
0,606779.9394771191,5.755274467142961e6,0.0,Inf,Inf,Inf,Inf
0,606781.5935756644,5.755284927764033e6,0.0,Inf,Inf,Inf,Inf
0,606856.0976994602,5.755757794447998e6,0.0,Inf,Inf,Inf,Inf
0,606881.6373177724,5.75591990494516e6,0.0,Inf,30996.0,Inf,Inf
0,606917.8257092,5.756159838086768e6,0.0,45801.0,Inf,Inf,Inf
0,606934.3618898707,5.756267226621672e6,0.0,39217.0,49488.0,47511.0,48083.0
0,606950.0304661884,5.756370457714222e6,0.0,22661.0,11244.0,13021.0,15457.0
0,606974.2263618584,5.7565185545608895e6,0.0,17653.0,7251.0,8183.0,7656.0
0,606984.4585993101,5.756575984947049e6,0.0,14089.0,34464.0,18983.0,13600.0
0,606992.5867259138,5.756621209287707e6,0.0,11918.0,551.0,723.0,941.0
0,607000.4489942658,5.756652186293072e6,0.0,739.0,739.0,729.0,778.0
0,607011.7889751807,5.756689312721871e6,0.0,871.0,926.0,904.0,883.0
0,607030.0524294045,5.756739905602299e6,0.0,987.0,946.0,966.0,990.0
0,607039.8720482714,5.756763892772935e6,0.0,Inf,1088.0,1145.0,1146.0
0,607065.1356088412,5.756819208618731e6,0.0,Inf,Inf,Inf,Inf
0,607075.0980192324,5.75684100704791e6,0.0,Inf,24950.0,Inf,Inf
0,607075.6364931053,5.756842186844863e6,0.0,14345.0,17467.0,9188.0,6578.0
0,607083.3200839394,5.756858996398821e6,0.0,6627.0,618.0,727.0,824.0
0,607128.9328454976,5.756938981697302e6,0.0,1224.0,1798.0,1617.0,1533.0
0,607166.3874558287,5.756998275620863e6,0.0,1214.0,1256.0,1284.0,1228.0
0,607198.1435678757,5.757043395098174e6,0.0,673.0,587.0,607.0,739.0
0,607207.8643511895,5.757055575508131e6,0.0,362.0,175.0,466.0,747.0
0,607215.9895046075,5.757064261424899e6,0.0,470.0,325.0,720.0,1347.0
0,607236.346091079,5.757089220541601e6,0.0,549.0,910.0,1290.0,1984.0
0,607256.795749504,5.757116240117441e6,0.0,498.0,411.0,605.0,632.0
0,607270.2999732513,5.75713181749555e6,0.0,335.0,172.0,236.0,307.0
0,607272.0360369098,5.757133568209149e6,0.0,406.0,423.0,373.0,370.0
0,607291.1660257945,5.757151591793151e6,0.0,604.0,624.0,631.0,623.0
0,607308.6040898915,5.757166764168182e6,0.0,28294.0,764.0,919.0,905.0
0,607319.9651755694,5.75717616506941e6,0.0,28259.0,Inf,42270.0,28494.0
0,607346.6658706663,5.757198245658617e6,0.0,Inf,521.0,581.0,618.0
