ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii
542775894,604524.0142194228,5.789558244810736e6,0.0,0.0,0.0,0.0,0.0
529411687,604552.2093858453,5.789577533628001e6,0.0,0.0,424.0,0.0,0.0
1585644398,604581.0188209008,5.7896010303804595e6,0.0,784.0,1356.0,1033.0,0.0
529411692,604608.8209504511,5.789624995582557e6,0.0,883.0,572.0,634.0,653.0
1585644415,604643.7712444367,5.789660038638306e6,0.0,20995.0,720.0,742.0,836.0
3038991888,604655.2709750038,5.789672688269484e6,0.0,47279.0,Inf,31781.0,21856.0
1585644423,604666.5168873824,5.789685065516525e6,0.0,Inf,Inf,48724.0,33821.0
529411695,604698.4450430415,5.789720234190221e6,0.0,Inf,11737.0,13067.0,12601.0
3209856994,604775.3624991055,5.789806148170808e6,0.0,36738.0,Inf,Inf,36349.0
529431874,604788.8060516051,5.789821142556107e6,0.0,33114.0,3680.0,3575.0,3480.0
529571541,604852.4054450296,5.789894391602306e6,0.0,2507.0,867.0,971.0,1225.0
529431889,604877.3117524193,5.789928210974841e6,0.0,3289.0,2975.0,2218.0,2007.0
1585644490,604894.9297085407,5.789952751947933e6,0.0,4065.0,6024.0,8732.0,6542.0
1585644493,604909.0821833786,5.789972279192273e6,0.0,17087.0,3195.0,9353.0,6977.0
3634175069,604917.6514177314,5.789984255350831e6,0.0,15260.0,42041.0,21665.0,19487.0
1585644494,604935.4005294584,5.79000903292837e6,0.0,14335.0,544.0,3563.0,3332.0
1585644502,604958.7912185569,5.790046959755207e6,0.0,735.0,421.0,593.0,797.0
3209856999,605001.8590879813,5.790099535609049e6,0.0,3942.0,1240.0,1291.0,0.0
0,605034.3036282175,5.790135552117042e6,0.0,0.0,10166.0,0.0,0.0
333163293,605117.7436717919,5.7902266174909985e6,0.0,0.0,0.0,0.0,0.0
