ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii
0,5.789448467625948e6,0.0,0.0,0.0,0.0,0.0,0.0
0,5.78945089927123e6,0.0,0.0,0.0,NaN,0.0,0.0
0,5.789463892008037e6,0.0,0.0,NaN,NaN,NaN,0.0
0,5.789467971395393e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789473383011629e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.7894796811992265e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789486297257393e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789497918086724e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789499844089056e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.78951009071392e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789523619517859e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789537855491416e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789558244810736e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789577533628001e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.7896010303804595e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789624995582557e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789660038638306e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789672688269484e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789685065516525e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789720234190221e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789806148170808e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789821142556107e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789894391602306e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789928210974841e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789952751947933e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789972279192273e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.789984255350831e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.79000903292837e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.790046959755207e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.790081380952937e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.790099535609049e6,0.0,0.0,NaN,NaN,NaN,NaN
0,5.790113401750094e6,0.0,0.0,NaN,NaN,NaN,0.0
0,5.790135552117042e6,0.0,0.0,0.0,NaN,0.0,0.0
0,5.7902266174909985e6,0.0,0.0,0.0,0.0,0.0,0.0
