ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii
55,533209.752,5.685128166e6,0.0,0.0,0.0
53,533212.507,5.684928187e6,0.0,0.0,15003.0
52,533212.596,5.684728188e6,0.0,15000.0,14998.0
51,533210.018,5.684528206e6,0.0,15000.0,15001.0
50,533204.774,5.684328277e6,0.0,0.0,15001.0
49,533196.865,5.684128434e6,0.0,0.0,0.0
