xCoordinates,yCoordinates,zCoordinates,radius,speedLimit
607672.707,5.757301174e6,0.0,276.1560357224566,0.0
607700.728,5.757296138e6,0.0,263.0505411934884,0.0
607755.395,5.757277146e6,0.0,502.89262283853014,0.0
607797.549,5.75725199e6,0.0,6440.864187998457,0.0
607835.262,5.757224296e6,0.0,1375.3163506175679,0.0
607952.989,5.757140507e6,0.0,1058.1475362152457,0.0
608041.708,5.757088688e6,0.0,905.4975262151623,0.0
608116.442,5.757053413e6,0.0,20553.036248815937,0.0
608229.957,5.757014649e6,0.0,1968.694290772185,0.0
608321.667,5.75698387e6,0.0,901.4880474028598,0.0
608369.717,5.756965706e6,0.0,3131.4073400110974,0.0
608489.462,5.756905742e6,0.0,7507.340397805776,0.0
608559.765,5.756867479e6,0.0,4737.9232799011115,0.0
608621.858,5.756834486e6,0.0,2259.8486698974184,0.0
608680.711,5.756802111e6,0.0,3641.922857877812,0.0
608710.869,5.75678639e6,0.0,15703.516730732965,0.0
608787.307,5.756744915e6,0.0,835.455440969779,0.0
608867.114,5.756702194e6,0.0,322.4897281547526,0.0
608928.013,5.756676608e6,0.0,300.4172866627122,0.0
609062.484,5.756665237e6,0.0,313.7766725643481,0.0
609180.205,5.756708541e6,0.0,332.98034089508826,0.0
609229.857,5.756746565e6,0.0,305.87386575366406,0.0
609277.441,5.756801495e6,0.0,319.29929326637364,0.0
609297.952,5.756836646e6,0.0,386.83613543840517,0.0
609316.87,5.756883253e6,0.0,327.4743594266906,0.0
609325.95,5.756915105e6,0.0,512.2394139900833,0.0
609334.359,5.756989201e6,0.0,504.8291280799226,0.0
609329.432,5.757083532e6,0.0,519.4717138555618,0.0
609314.076,5.757153289e6,0.0,529.3331925666762,0.0
609279.846,5.757240134e6,0.0,460.2611491245373,0.0
609243.971,5.757301259e6,0.0,543.1731295217548,0.0
609214.589,5.757339125e6,0.0,397.20014210926297,0.0
609166.053,5.757389343e6,0.0,601.2485787897425,0.0
609127.307,5.757418979e6,0.0,1251.9277023092845,0.0
609073.004,5.757452955e6,0.0,2647.7777892628487,0.0
609025.446,5.757479664e6,0.0,4029.4784708240923,0.0
608970.979,5.757508699e6,0.0,9623.593091098253,0.0
608938.115,5.757526741e6,0.0,58840.591235846085,0.0
608859.818,5.757569058e6,0.0,10507.03278559185,0.0
608776.614,5.757614195e6,0.0,937.7595464990948,0.0
608638.91,5.757691052e6,0.0,394.58284073754527,0.0
608591.638,5.757725109e6,0.0,378.86019665534917,0.0
608519.237,5.757805137e6,0.0,514.1767150084777,0.0
608484.233,5.757869963e6,0.0,352.8815664232943,0.0
608470.254,5.757904222e6,0.0,407.08794890316824,0.0
608450.77,5.758010701e6,0.0,636.0191740714198,0.0
608456.069,5.758098328e6,0.0,9124.972298520132,0.0
608481.823,5.758212595e6,0.0,35841.233686724765,0.0
608518.635,5.758365201e6,0.0,25027.304126442268,0.0
608546.599,5.758483133e6,0.0,9521.020278155365,0.0
608578.051,5.758612832e6,0.0,9337.97251911702,0.0
608593.711,5.758680553e6,0.0,14919.516642717626,0.0
608616.043,5.758773383e6,0.0,17015.605866231217,0.0
608630.826,5.758833439e6,0.0,9.432447127070503e6,0.0
608679.77,5.759039393e6,0.0,23822.344728915825,0.0
608712.65,5.759177762e6,0.0,31861.812095123365,0.0
608735.822,5.759273135e6,0.0,68849.37346223345,0.0
608757.693,5.75936435e6,0.0,17716.64547928565,0.0
608799.761,5.759541361e6,0.0,1386.8247491498016,0.0
608832.128,5.759683377e6,0.0,1326.4372899017524,0.0
608842.79,5.759756431e6,0.0,1116.3456646252105,0.0
608850.58,5.759852848e6,0.0,1187.137381501584,0.0
608850.041,5.75994862e6,0.0,1221.7697535065217,0.0
608841.632,5.760045222e6,0.0,1210.7069099014648,0.0
608820.848,5.760162561e6,0.0,1141.5884870430793,0.0
608797.726,5.760248961e6,0.0,1051.090033210487,0.0
608791.113,5.760269594e6,0.0,2460.711792480874,0.0
608771.777,5.760322982e6,0.0,824.1512107126034,0.0
608764.71,5.760341584e6,0.0,1218.589561905397,0.0
608747.232,5.760382668e6,0.0,0.0,0.0
608729.287,5.760420993e6,0.0,0.0,0.0
